region_1,region_2,n_1_before_2,n_1_2_tot,prop_1_before_2,lower_prop,upper_prop,i_wave,lower_prop_bootstrap,upper_prop_bootstrap
North Central,North Puget Sound,61,113,0.5398230088495575,0.44379360985289357,0.6331098581969999,1,0.45132743362831856,0.6283185840707964
North Central,Northeast,5,9,0.5555555555555556,0.22652922988939753,0.8465694424914205,1,0.2222222222222222,0.8888888888888888
North Central,Northwest,11,14,0.7857142857142857,0.4881622109201552,0.9429364835445159,1,0.5714285714285714,1
North Central,Peninsula/Coastal,2,3,0.6666666666666666,0.1253344719102632,0.9823472057213466,1,0,1
North Central,South Central,99,269,0.3680297397769517,0.3108604174648333,0.42903414480181223,1,0.31226765799256506,0.4275092936802974
North Central,South Puget Sound,4,18,0.2222222222222222,0.07372310219721734,0.48081385389194586,1,0.05555555555555555,0.4444444444444444
North Central,Southeast,93,115,0.808695652173913,0.7225119304093269,0.8737468823691515,1,0.7304347826086957,0.8782608695652174
North Puget Sound,North Central,52,113,0.46017699115044247,0.3668901418029999,0.5562063901471063,1,0.37168141592920356,0.5486725663716814
North Puget Sound,Northeast,1375,1617,0.8503401360544217,0.8317996966124594,0.8671904719522417,1,0.8324056895485467,0.8676561533704391
North Puget Sound,Northwest,1699,2713,0.6262440103206782,0.6076867339046692,0.6444406716797707,1,0.6081736085514192,0.6443051971986731
North Puget Sound,Peninsula/Coastal,210,273,0.7692307692307693,0.7137828687025524,0.8169358281138022,1,0.717948717948718,0.8168498168498168
North Puget Sound,South Central,4193,6232,0.6728177150192555,0.6609847281472983,0.6844363144692985,1,0.6611039794608472,0.6845314505776636
North Puget Sound,South Puget Sound,19690,33031,0.5961066876570494,0.5907890944691826,0.6014018653630563,1,0.590808634313221,0.6013441918198056
North Puget Sound,Southeast,131,165,0.793939393939394,0.7225949244327358,0.8512631350301416,1,0.7333333333333333,0.8545454545454545
North Puget Sound,Southwest,214,492,0.4349593495934959,0.39082809247615286,0.48012168016335044,1,0.3902439024390244,0.4796747967479675
Northeast,North Central,4,9,0.4444444444444444,0.1534305575085795,0.7734707701106025,1,0.1111111111111111,0.7777777777777778
Northeast,North Puget Sound,242,1617,0.14965986394557823,0.1328095280477581,0.1682003033875406,1,0.13234384662956092,0.16759431045145332
Northeast,Northwest,20,29,0.6896551724137931,0.49046877199221905,0.8402430090108474,1,0.5172413793103449,0.8620689655172413
Northeast,Peninsula/Coastal,9,13,0.6923076923076923,0.38884902066574384,0.896414789896713,1,0.46153846153846156,0.9230769230769231
Northeast,South Central,162,342,0.47368421052631576,0.41991501271417403,0.5280540785197281,1,0.42105263157894735,0.5263157894736842
Northeast,South Puget Sound,54,326,0.1656441717791411,0.12786099867522505,0.21150830547960844,1,0.12576687116564417,0.20552147239263804
Northeast,Southeast,43,74,0.581081081081081,0.4607551847008864,0.6929355853786271,1,0.47297297297297297,0.6891891891891891
Northeast,Southwest,11,16,0.6875,0.4148346333847325,0.8787128149563824,1,0.4375,0.875
Northwest,North Central,3,14,0.21428571428571427,0.05706351645548419,0.5118377890798449,1,0,0.42857142857142855
Northwest,North Puget Sound,1014,2713,0.3737559896793218,0.3555593283202292,0.39231326609533074,1,0.3556948028013269,0.392185772207888
Northwest,Northeast,9,29,0.3103448275862069,0.1597569909891527,0.509531228007781,1,0.13793103448275862,0.4827586206896552
Northwest,Peninsula/Coastal,8,14,0.5714285714285714,0.2964815283342476,0.8118636579300715,1,0.2857142857142857,0.7857142857142857
Northwest,South Central,220,297,0.7407407407407407,0.6862870065109622,0.788840466093526,1,0.6902356902356902,0.7912457912457912
Northwest,South Puget Sound,128,422,0.3033175355450237,0.26026878263093634,0.35001013047866064,1,0.26066350710900477,0.34834123222748814
Northwest,Southeast,24,41,0.5853658536585366,0.4219971470982576,0.7329785070315227,1,0.43902439024390244,0.7317073170731707
Northwest,Southwest,4,9,0.4444444444444444,0.1534305575085795,0.7734707701106025,1,0.1111111111111111,0.7777777777777778
Peninsula/Coastal,North Central,1,3,0.3333333333333333,0.0176527942786535,0.8746655280897367,1,0,1
Peninsula/Coastal,North Puget Sound,63,273,0.23076923076923078,0.18306417188619795,0.2862171312974477,1,0.18315018315018314,0.28205128205128205
Peninsula/Coastal,Northeast,4,13,0.3076923076923077,0.10358521010328697,0.6111509793342561,1,0.07692307692307693,0.5384615384615384
Peninsula/Coastal,Northwest,6,14,0.42857142857142855,0.1881363420699285,0.7035184716657525,1,0.21428571428571427,0.7142857142857143
Peninsula/Coastal,South Central,20,36,0.5555555555555556,0.3828803524444778,0.716646426424926,1,0.3888888888888889,0.7222222222222222
Peninsula/Coastal,South Puget Sound,38,86,0.4418604651162791,0.3362035455828988,0.5527586646561556,1,0.3372093023255814,0.5465116279069767
Peninsula/Coastal,Southeast,5,7,0.7142857142857143,0.30256002981392766,0.948875693954224,1,0.42857142857142855,1
Peninsula/Coastal,Southwest,3,9,0.3333333333333333,0.09041825651928474,0.6908238976957636,1,0,0.6666666666666666
South Central,North Central,170,269,0.6319702602230484,0.5709658551981879,0.6891395825351667,1,0.5724907063197026,0.6877323420074349
South Central,North Puget Sound,2039,6232,0.32718228498074453,0.31556368553070135,0.33901527185270175,1,0.31562901155327344,0.33889602053915274
South Central,Northeast,180,342,0.5263157894736842,0.47194592148027187,0.580084987285826,1,0.47368421052631576,0.5789473684210527
South Central,Northwest,77,297,0.25925925925925924,0.21115953390647407,0.3137129934890377,1,0.20875420875420875,0.30976430976430974
South Central,Peninsula/Coastal,16,36,0.4444444444444444,0.28335357357507385,0.6171196475555222,1,0.2777777777777778,0.6111111111111112
South Central,South Puget Sound,434,1384,0.31358381502890176,0.2893327714055611,0.33888206386562675,1,0.28901734104046245,0.33815028901734107
South Central,Southeast,108,191,0.5654450261780105,0.4919274591091878,0.6362868589515589,1,0.4973821989528796,0.6335078534031413
South Central,Southwest,52,59,0.8813559322033898,0.7646329760633062,0.9469974425362305,1,0.7966101694915254,0.9491525423728814
South Puget Sound,North Central,14,18,0.7777777777777778,0.5191861461080541,0.9262768978027827,1,0.5555555555555556,0.9444444444444444
South Puget Sound,North Puget Sound,13341,33031,0.40389331234295056,0.39859813463694366,0.4092109055308174,1,0.398595258999122,0.4092216402773152
South Puget Sound,Northeast,272,326,0.8343558282208589,0.7884916945203915,0.872139001324775,1,0.7944785276073619,0.8742331288343558
South Puget Sound,Northwest,294,422,0.6966824644549763,0.6499898695213393,0.7397312173690638,1,0.6516587677725119,0.7393364928909952
South Puget Sound,Peninsula/Coastal,48,86,0.5581395348837209,0.4472413353438443,0.6637964544171012,1,0.45348837209302323,0.6627906976744186
South Puget Sound,South Central,950,1384,0.6864161849710982,0.6611179361343731,0.710667228594439,1,0.661849710982659,0.7109826589595376
South Puget Sound,Southeast,30,34,0.8823529411764706,0.7160872489816235,0.9616275191468746,1,0.7647058823529411,0.9705882352941176
South Puget Sound,Southwest,23,78,0.2948717948717949,0.19973653227332402,0.41044897619510123,1,0.19230769230769232,0.3974358974358974
Southeast,North Central,22,115,0.19130434782608696,0.12625311763084834,0.2774880695906731,1,0.12173913043478261,0.26956521739130435
Southeast,North Puget Sound,34,165,0.20606060606060606,0.14873686496985838,0.27740507556726424,1,0.14545454545454545,0.26666666666666666
Southeast,Northeast,31,74,0.4189189189189189,0.3070644146213729,0.5392448152991135,1,0.3108108108108108,0.527027027027027
Southeast,Northwest,17,41,0.4146341463414634,0.2670214929684773,0.5780028529017425,1,0.2682926829268293,0.5609756097560976
Southeast,Peninsula/Coastal,2,7,0.2857142857142857,0.05112430604577598,0.6974399701860723,1,0,0.5714285714285714
Southeast,South Central,83,191,0.43455497382198954,0.3637131410484412,0.5080725408908122,1,0.36649214659685864,0.5026178010471204
Southeast,South Puget Sound,4,34,0.11764705882352941,0.03837248085312533,0.28391275101837654,1,0.029411764705882353,0.23529411764705882
Southwest,North Puget Sound,278,492,0.5650406504065041,0.5198783198366496,0.6091719075238471,1,0.5223577235772358,0.6097560975609756
Southwest,Northeast,5,16,0.3125,0.12128718504361775,0.5851653666152675,1,0.125,0.5625
Southwest,Northwest,5,9,0.5555555555555556,0.22652922988939753,0.8465694424914205,1,0.2222222222222222,0.8888888888888888
Southwest,Peninsula/Coastal,6,9,0.6666666666666666,0.3091761023042364,0.9095817434807152,1,0.3333333333333333,1
Southwest,South Central,7,59,0.11864406779661017,0.05300255746376938,0.23536702393669387,1,0.05084745762711865,0.2033898305084746
Southwest,South Puget Sound,55,78,0.7051282051282052,0.5895510238048988,0.800263467726676,1,0.6025641025641025,0.8076923076923077
North Central,North Puget Sound,197,654,0.3012232415902141,0.26657081904552016,0.3382474755701083,2,0.26605504587155965,0.3363914373088685
North Central,Northeast,201,317,0.6340694006309149,0.5781269169062437,0.6867065582370041,2,0.580441640378549,0.6876971608832808
North Central,Northwest,105,234,0.44871794871794873,0.3842578203642723,0.5148897153095753,2,0.38461538461538464,0.5128205128205128
North Central,Peninsula/Coastal,106,144,0.7361111111111112,0.6549966518457881,0.804373561976384,2,0.6597222222222222,0.8055555555555556
North Central,South Central,219,612,0.35784313725490197,0.3200666706916016,0.397431100201731,2,0.3202614379084967,0.3954248366013072
North Central,South Puget Sound,118,264,0.44696969696969696,0.3863410130450569,0.5091672205113126,2,0.38636363636363635,0.5075757575757576
North Central,Southeast,95,164,0.5792682926829268,0.49969578920083035,0.6550676126367436,2,0.5060975609756098,0.6524390243902439
North Central,Southwest,20,29,0.6896551724137931,0.49046877199221905,0.8402430090108474,2,0.5172413793103449,0.8620689655172413
North Puget Sound,North Central,457,654,0.6987767584097859,0.6617525244298915,0.7334291809544798,2,0.6636085626911316,0.7339449541284404
North Puget Sound,Northeast,502,968,0.518595041322314,0.4865920252063381,0.5504486462756562,2,0.4865702479338843,0.5506198347107438
North Puget Sound,Northwest,1210,2345,0.5159914712153518,0.4955420308063326,0.5363880535495268,2,0.4955223880597015,0.5364605543710022
North Puget Sound,Peninsula/Coastal,623,1177,0.5293118096856415,0.5003222938476647,0.558107777403653,2,0.5012744265080714,0.5573491928632116
North Puget Sound,South Central,2305,4284,0.5380485527544351,0.5229751874745662,0.5530532102195339,2,0.523109243697479,0.5529878618113913
North Puget Sound,South Puget Sound,1736,3237,0.5362990423231387,0.5189324257034752,0.5535788331567442,2,0.5193080012357121,0.5532900834105653
North Puget Sound,Southeast,219,296,0.7398648648648649,0.6852700126528302,0.7881075917507823,2,0.6891891891891891,0.7905405405405406
North Puget Sound,Southwest,404,494,0.8178137651821862,0.7802894230315309,0.8502885594767534,2,0.7834008097165992,0.8502024291497976
Northeast,North Central,116,317,0.3659305993690852,0.3132934417629959,0.4218730830937563,2,0.31230283911671924,0.4195583596214511
Northeast,North Puget Sound,466,968,0.48140495867768596,0.4495513537243439,0.5134079747936618,2,0.4493801652892562,0.512396694214876
Northeast,Northwest,548,1077,0.5088207985143919,0.47852270186899903,0.5390552212848674,2,0.479108635097493,0.5385329619312906
Northeast,Peninsula/Coastal,92,214,0.42990654205607476,0.3631383602779497,0.4992331017212188,2,0.3644859813084112,0.4953271028037383
Northeast,South Central,297,743,0.3997308209959623,0.36445213936968535,0.4360606479370721,2,0.36473755047106327,0.4347240915208614
Northeast,South Puget Sound,308,956,0.32217573221757323,0.29280716329774814,0.3529927439691132,2,0.2928870292887029,0.3514644351464435
Northeast,Southeast,263,421,0.6247030878859857,0.5763136203059603,0.6707797721917689,2,0.5771971496437055,0.669833729216152
Northeast,Southwest,77,164,0.4695121951219512,0.39175446853306095,0.5487205586232037,2,0.3902439024390244,0.5487804878048781
Northwest,North Central,129,234,0.5512820512820513,0.4851102846904248,0.6157421796357277,2,0.48717948717948717,0.6153846153846154
Northwest,North Puget Sound,1135,2345,0.4840085287846482,0.46361194645047327,0.5044579691936674,2,0.4639658848614073,0.5040511727078891
Northwest,Northeast,529,1077,0.4911792014856082,0.4609447787151327,0.5214772981310011,2,0.46146703806870937,0.520891364902507
Northwest,Peninsula/Coastal,198,409,0.4841075794621027,0.434841319827828,0.5336770250546704,2,0.4352078239608802,0.5330073349633252
Northwest,South Central,278,640,0.434375,0.3957085962062081,0.47384038550013163,2,0.3953125,0.471875
Northwest,South Puget Sound,448,893,0.5016797312430011,0.4683915676508276,0.5349532600242588,2,0.46920492721164614,0.5341545352743561
Northwest,Southeast,119,245,0.4857142857142857,0.42183450832817343,0.5500494025939249,2,0.42448979591836733,0.5469387755102041
Northwest,Southwest,71,186,0.3817204301075269,0.3124245664965554,0.45598541667504056,2,0.3118279569892473,0.45161290322580644
Peninsula/Coastal,North Central,38,144,0.2638888888888889,0.19562643802361596,0.34500334815421185,2,0.19444444444444445,0.3402777777777778
Peninsula/Coastal,North Puget Sound,554,1177,0.47068819031435855,0.441892222596347,0.49967770615233525,2,0.44265080713678845,0.4995751911639762
Peninsula/Coastal,Northeast,122,214,0.5700934579439252,0.5007668982787811,0.6368616397220502,2,0.5046728971962616,0.6355140186915887
Peninsula/Coastal,Northwest,211,409,0.5158924205378973,0.46632297494532954,0.565158680172172,2,0.4669926650366748,0.5647921760391198
Peninsula/Coastal,South Central,166,342,0.4853801169590643,0.43142748793575725,0.5396664431780669,2,0.4327485380116959,0.5380116959064327
Peninsula/Coastal,South Puget Sound,225,584,0.3852739726027397,0.34584140894903004,0.42623838496771205,2,0.3458904109589041,0.4246575342465753
Peninsula/Coastal,Southeast,49,50,0.98,0.8798918801078072,0.9989551117055796,2,0.94,1
Peninsula/Coastal,Southwest,16,50,0.32,0.19927805793642267,0.4683117730635097,2,0.2,0.46
South Central,North Central,393,612,0.6421568627450981,0.602568899798269,0.6799333293083983,2,0.6045751633986928,0.6797385620915033
South Central,North Puget Sound,1979,4284,0.4619514472455649,0.44694678978046615,0.47702481252543383,2,0.4470121381886088,0.47689075630252103
South Central,Northeast,446,743,0.6002691790040376,0.5639393520629279,0.6355478606303145,2,0.5652759084791387,0.6352624495289367
South Central,Northwest,362,640,0.565625,0.5261596144998684,0.6042914037937919,2,0.5265625,0.6046875
South Central,Peninsula/Coastal,176,342,0.5146198830409356,0.46033355682193294,0.5685725120642428,2,0.4619883040935672,0.5672514619883041
South Central,South Puget Sound,598,1253,0.4772545889864326,0.4493132922656214,0.5053369287008269,2,0.4493216280925778,0.5043894652833201
South Central,Southeast,237,384,0.6171875,0.5663177599540987,0.6656739750143447,2,0.5677083333333334,0.6640625
South Central,Southwest,97,186,0.521505376344086,0.4473607567188812,0.5947474114696151,2,0.45161290322580644,0.5913978494623656
South Puget Sound,North Central,146,264,0.553030303030303,0.4908327794886873,0.613658986954943,2,0.49242424242424243,0.6136363636363636
South Puget Sound,North Puget Sound,1501,3237,0.4637009576768613,0.4464211668432558,0.48106757429652486,2,0.44640098856966326,0.4810009267840593
South Puget Sound,Northeast,648,956,0.6778242677824268,0.6470072560308867,0.7071928367022517,2,0.647489539748954,0.7071129707112971
South Puget Sound,Northwest,445,893,0.49832026875699886,0.465046739975741,0.5316084323491724,2,0.4658454647256439,0.5307950727883539
South Puget Sound,Peninsula/Coastal,359,584,0.6147260273972602,0.573761615032288,0.6541585910509699,2,0.5753424657534246,0.6541095890410958
South Puget Sound,South Central,655,1253,0.5227454110135674,0.4946630712991731,0.5506867077343786,2,0.4948124501197127,0.5506783719074222
South Puget Sound,Southeast,232,320,0.725,0.6719981728160765,0.7724946376178256,2,0.675,0.771875
South Puget Sound,Southwest,362,629,0.575516693163752,0.5357473318889783,0.614350446534443,2,0.5373608903020668,0.6136724960254372
Southeast,North Central,69,164,0.42073170731707316,0.3449323873632563,0.5003042107991695,2,0.3475609756097561,0.49390243902439024
Southeast,North Puget Sound,77,296,0.26013513513513514,0.2118924082492178,0.31472998734717006,2,0.20945945945945946,0.3108108108108108
Southeast,Northeast,158,421,0.3752969121140142,0.32922022780823107,0.42368637969403955,2,0.33016627078384797,0.42280285035629456
Southeast,Northwest,126,245,0.5142857142857142,0.44995059740607507,0.5781654916718265,2,0.4530612244897959,0.5755102040816327
Southeast,Peninsula/Coastal,1,50,0.02,0.0010448882944205852,0.12010811989219292,2,0,0.06
Southeast,South Central,147,384,0.3828125,0.33432602498565545,0.43368224004590117,2,0.3359375,0.4322916666666667
Southeast,South Puget Sound,88,320,0.275,0.22750536238217445,0.3280018271839234,2,0.228125,0.325
Southeast,Southwest,58,120,0.48333333333333334,0.39182570681521306,0.5759223645973544,2,0.39166666666666666,0.575
Southwest,North Central,9,29,0.3103448275862069,0.1597569909891527,0.509531228007781,2,0.13793103448275862,0.4827586206896552
Southwest,North Puget Sound,90,494,0.18218623481781376,0.14971144052324661,0.21971057696846902,2,0.14979757085020243,0.2165991902834008
Southwest,Northeast,87,164,0.5304878048780488,0.4512794413767962,0.608245531466939,2,0.4573170731707317,0.6097560975609756
Southwest,Northwest,115,186,0.6182795698924731,0.5440145833249593,0.6875754335034445,2,0.5483870967741935,0.6881720430107527
Southwest,Peninsula/Coastal,34,50,0.68,0.5316882269364904,0.8007219420635774,2,0.54,0.8
Southwest,South Central,89,186,0.478494623655914,0.40525258853038487,0.5526392432811188,2,0.40860215053763443,0.5483870967741935
Southwest,South Puget Sound,267,629,0.424483306836248,0.3856495534655569,0.46425266811102184,2,0.3863275039745628,0.4626391096979332
Southwest,Southeast,62,120,0.5166666666666667,0.4240776354026457,0.608174293184787,2,0.425,0.6083333333333333
North Central,North Puget Sound,27173,61338,0.443004336626561,0.4390687919820941,0.44694703464249397,3,0.43905898464247284,0.4469496886106492
North Central,Northeast,3934,5827,0.675133001544534,0.6629097883971257,0.6871238073307421,3,0.6631199588124249,0.6871460442766432
North Central,Northwest,3753,13098,0.2865322950068713,0.2788147285111207,0.2943756559411662,3,0.2788211940754314,0.29424339593831117
North Central,Peninsula/Coastal,4727,11008,0.42941497093023256,0.42014906449424544,0.4387303661216035,3,0.42014898255813954,0.4386809593023256
